"ID";"Titel";"Transportunternehmen";"Kurze Meldung";"Lange Meldung";"Erweiterte Meldung";"Endmeldung";"Start Ereigniszeitpunkt";"Ende Ereigniszeitpunkt";"Dauer [min]";"Zeitpunkt Meldung beendet";"Start Publikationszeitpunkt";"Ende Publikationszeitpunkt";"Typ";"Klassifizierung";"Template";"Medien";"Linien";"Haltestelle"
"5f1022021c53e13a143b4d0e";"Linie 9B: Betrieb eingestellt";"Städtische Verkehrsbetriebe Bern";"Alle Kurse der Linie 9B fallen bis auf Weiteres aus.";"Alle Kurse der Linie 9B fallen bis auf Weiteres aus.";"Alle Kurse der Linie 9B fallen bis auf Weiteres aus.";;"17-03-2020 05:00:00";"12-12-2020 23:59:00";;"12-12-2020 23:59:14";"17-03-2020 05:00:00";"12-12-2020 23:59:00";"geplant";"incident.severity.INCIDENT";"Linie:  Freier Text (Baustelle)";"MEZI, ONLINE";"9B";
"5f5886defcfa1d1cd0a60d6a";"Linie 23: Testbetrieb";"Städtische Verkehrsbetriebe Bern";"Ab 01.02.2021 startet der interne Testbetrieb auf der Linie 23.";"Ab 01.02.2021 startet der interne Testbetrieb auf der Linie 23.";"Ab 01.02.2021 startet der interne Testbetrieb auf der Linie 23.";;"01-02-2021 05:00:00";"28-02-2021 23:59:00";;"28-02-2021 23:59:00";"09-09-2020 05:00:00";"28-02-2021 23:59:00";"geplant";"incident.severity.INCIDENT";"Linie:  Freier Text (Baustelle)";"EPAPER, MEZI, ONLINE";"23";
"5f71a12be1060b18b05792d3";"Linie 28 Richtung Weissenbühl Bhf: Haltestelle Ostermundigen Bhf verschoben";"Städtische Verkehrsbetriebe Bern";"Ab 12.10.2020 bis 23.12.2020: Die Haltestelle Ostermundigen Bahnhof der Linie 28 Richtung Weissenbühl Bahnhof ist infolge Bauarbeiten verschoben und befindet sich in der Bernstrasse vor der Unterführung.";"Ab 12.10.2020 bis 23.12.2020: Die Haltestelle Ostermundigen Bahnhof der Linie 28 Richtung Weissenbühl Bahnhof ist infolge Bauarbeiten verschoben und befindet sich in der Bernstrasse vor der Unterführung.";"Ab 12.10.2020 bis 23.12.2020: Die Haltestelle Ostermundigen Bahnhof der Linie 28 Richtung Weissenbühl Bahnhof ist infolge Bauarbeiten verschoben und befindet sich in der Bernstrasse vor der Unterführung.";;"12-10-2020 05:00:00";"23-12-2020 23:59:00";;"23-12-2020 23:59:03";"08-10-2020 05:00:00";"23-12-2020 23:59:00";"geplant";"incident.severity.INCIDENT";"Haltestelle einer Linie: verschoben (Baustelle)";"TWITTER, GTFS, OEVPLUSCH, ONLINE, MEZI";"28";
"5f71a12be1060b18b05792d3";"Linie 28 Richtung Weissenbühl Bhf: Haltestelle Ostermundigen Bhf verschoben";"Städtische Verkehrsbetriebe Bern";"Ab 12.10.2020 bis 23.12.2020: Die Haltestelle Ostermundigen Bahnhof der Linie 28 Richtung Weissenbühl Bahnhof ist infolge Bauarbeiten verschoben und befindet sich in der Bernstrasse vor der Unterführung.";"Ab 12.10.2020 bis 23.12.2020: Die Haltestelle Ostermundigen Bahnhof der Linie 28 Richtung Weissenbühl Bahnhof ist infolge Bauarbeiten verschoben und befindet sich in der Bernstrasse vor der Unterführung.";"Ab 12.10.2020 bis 23.12.2020: Die Haltestelle Ostermundigen Bahnhof der Linie 28 Richtung Weissenbühl Bahnhof ist infolge Bauarbeiten verschoben und befindet sich in der Bernstrasse vor der Unterführung.";;"12-10-2020 05:00:00";"23-12-2020 23:59:00";;"23-12-2020 23:59:03";"08-10-2020 05:00:00";"23-12-2020 23:59:00";"geplant";"incident.severity.INCIDENT";"Haltestelle einer Linie: verschoben (Baustelle)";"TWITTER, GTFS, OEVPLUSCH, ONLINE, MEZI";"28";"Ostermundigen, Bahnhof"
"5fbf8daf1c53e11ac8bfc667";"Linie 20: Haltestelle Länggasse nicht bedient";"Städtische Verkehrsbetriebe Bern";"Ab 13.12.2020 bis voraussichtlich 31.05.2021:
Die Haltestelle Länggasse der Linie 20 ist infolge Bauarbeiten nicht bedient. Bitte benützen Sie Richtung Bern, Bahnhof die  Postautohaltestelle in der Länggassstrasse 79-83.";"Ab 13.12.2020 bis voraussichtlich 31.05.2021:
Die Haltestelle Länggasse der Linie 20 ist infolge Bauarbeiten nicht bedient. Bitte benützen Sie Richtung Bern, Bahnhof die  Postautohaltestelle in der Länggassstrasse 79-83.";"Ab 13.12.2020 bis voraussichtlich 31.05.2021:
Die Haltestelle Länggasse der Linie 20 ist infolge Bauarbeiten nicht bedient. Bitte benützen Sie Richtung Bern, Bahnhof die  Postautohaltestelle in der Länggassstrasse 79-83.";;"13-12-2020 05:15:00";"31-05-2021 01:00:00";;"31-05-2021 01:00:06";"30-11-2020 08:00:00";"31-05-2021 01:00:00";"geplant";"incident.severity.INCIDENT";"Haltestelle einer Linie: Nicht bedient (Baustelle)";"MEZI, ONLINE, EPAPER, OEVPLUSCH, TWITTER, MEZI_SITE";"20";
"5fbf8daf1c53e11ac8bfc667";"Linie 20: Haltestelle Länggasse nicht bedient";"Städtische Verkehrsbetriebe Bern";"Ab 13.12.2020 bis voraussichtlich 31.05.2021:
Die Haltestelle Länggasse der Linie 20 ist infolge Bauarbeiten nicht bedient. Bitte benützen Sie Richtung Bern, Bahnhof die  Postautohaltestelle in der Länggassstrasse 79-83.";"Ab 13.12.2020 bis voraussichtlich 31.05.2021:
Die Haltestelle Länggasse der Linie 20 ist infolge Bauarbeiten nicht bedient. Bitte benützen Sie Richtung Bern, Bahnhof die  Postautohaltestelle in der Länggassstrasse 79-83.";"Ab 13.12.2020 bis voraussichtlich 31.05.2021:
Die Haltestelle Länggasse der Linie 20 ist infolge Bauarbeiten nicht bedient. Bitte benützen Sie Richtung Bern, Bahnhof die  Postautohaltestelle in der Länggassstrasse 79-83.";;"13-12-2020 05:15:00";"31-05-2021 01:00:00";;"31-05-2021 01:00:06";"30-11-2020 08:00:00";"31-05-2021 01:00:00";"geplant";"incident.severity.INCIDENT";"Haltestelle einer Linie: Nicht bedient (Baustelle)";"MEZI, ONLINE, EPAPER, OEVPLUSCH, TWITTER, MEZI_SITE";"20";"Bern, Länggasse"
"5fd307501c53e11ac8bfc6ac";"Linie 20: Kursausfälle";"Städtische Verkehrsbetriebe Bern";"11.12.2020, 06:44 Uhr: Auf der Linie 20 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"11.12.2020, 06:44 Uhr: Auf der Linie 20 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"11.12.2020, 06:44 Uhr: Auf der Linie 20 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"Die Linie 20 fährt wieder nach Fahrplan. ";"11-12-2020 06:44:00";"11-12-2020 07:05:13";;"11-12-2020 07:05:13";"11-12-2020 06:44:00";"11-12-2020 07:05:13";"ungeplant";"incident.severity.INCIDENT";"Linie: Kursausfall";"MEZI, ONLINE, MONITOR, OEVPLUSCH, INFOPOINT, GTFS, EPAPER, TWITTER";"20";
"5fd35052fcfa1d1bcc778705";"Linie 7: Kursausfälle";"Städtische Verkehrsbetriebe Bern";"11.12.2020, 11:55 Uhr: Auf der Linie 7 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"11.12.2020, 11:55 Uhr: Auf der Linie 7 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"11.12.2020, 11:55 Uhr: Auf der Linie 7 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"Die Linie 7 fährt wieder nach Fahrplan. ";"11-12-2020 11:55:00";"11-12-2020 12:37:30";;"11-12-2020 12:37:30";"11-12-2020 11:55:00";"11-12-2020 12:37:30";"ungeplant";"incident.severity.INCIDENT";"Linie: Kursausfall";"MEZI, ONLINE, MONITOR, OEVPLUSCH, INFOPOINT, GTFS, EPAPER, TWITTER";"7";
"5fd359ba1c53e11ac8bfc6ad";"Linie 19: Kursausfälle";"Städtische Verkehrsbetriebe Bern";"11.12.2020, 12:35 Uhr: Auf der Linie 19 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"11.12.2020, 12:35 Uhr: Auf der Linie 19 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"11.12.2020, 12:35 Uhr: Auf der Linie 19 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"Die Linie 19 fährt wieder nach Fahrplan. ";"11-12-2020 12:35:00";"11-12-2020 12:44:45";;"11-12-2020 12:44:45";"11-12-2020 12:35:00";"11-12-2020 12:44:45";"ungeplant";"incident.severity.INCIDENT";"Linie: Kursausfall";"MEZI, ONLINE, MONITOR, OEVPLUSCH, INFOPOINT, GTFS, EPAPER, TWITTER";"19";
"5fd454d5fcfa1d1bcc77870a";"Linie 7: Kursausfälle";"Städtische Verkehrsbetriebe Bern";"12.12.2020, 06:26 Uhr: Auf der Linie 7 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"12.12.2020, 06:26 Uhr: Auf der Linie 7 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"12.12.2020, 06:26 Uhr: Auf der Linie 7 ist infolge einer Betriebsstörung mit Kursausfällen zu rechnen.  Dauer: unbestimmt.";"Die Linie 7 fährt wieder nach Fahrplan. ";"12-12-2020 06:27:00";"12-12-2020 07:06:26";;"12-12-2020 07:06:26";"12-12-2020 06:27:00";"12-12-2020 07:06:26";"ungeplant";"incident.severity.INCIDENT";"Linie: Kursausfall";"MEZI, ONLINE, MONITOR, OEVPLUSCH, INFOPOINT, GTFS, EPAPER, TWITTER";"7";
